EMPLID,Name,Term,Application Status,Major,Math - Majors 1st Math Course,Math - Majors 1st Math Code,Math - Math Placement Course,Math - Math Placement Code,Math - Math Placement Course Verified,Math - Math Placement Code Verified,Math - Math Placement Met,Math - Math Placement Met Long Description,Math - ESM 105 Eligible,Math - ESM 120 Eligible,College Coursework Exists,IMP - College Course,Math_Tests_Concatenate,Formula math_placement_2_calc_III_eligible,Formula math_placement_4_calc_II_eligible,Formula math_placement_8_calc_eligible,Formula math_placement_10_precalc_eligible,Formula math_score_exists,Application Math Category,College Math Status ERS,ELM Status ERS,HS Math GPA ERS,HS Math Units ERS,MAPE IA,MAPE PC,EAP,ACT Math,ACT Math SS,AP CALC AB,AP CALC BC,AP CSC P,AP STATS,IB AA,IB AI,Old SAT Math,SAT Math L1,SAT Math L2,SAT R Math Section,CLEP College Algebra,CLEP College Algebra/Trig,CLEP Trig,CLEP Precalc,CLEP Calc,Cambridge Math,MPAP Response,MPAP - Updated Date,IMP - Updated Date
0011,Skyler Wright,Fall 2025,Confirmed Completed,Forest and Fire Sciences,MATH 161 - Calculus for the Life Sciences I OR MATH 221 - Calculus for Business and Economics,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Calculus I or higher,,,4,,10,N,,0,4,,8,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,07/14/2025 03:07,05/16/2025 02:05
0012,Quinn Nguyen,Fall 2025,Confirmed Completed,History,a single course in GE area B4,10,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,,,Verified: AP Calculus (AB) - 4,,4,,10,Y,,0,A,,10,,,,,,4 - Verified,,,,,,,,,,,,,,,,,,
0013,Casey Garcia,Fall 2025,Confirmed Completed,English,a single course in GE area B4,10,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,Y,N,,,,,,,10,N,,0,4,,8,,,,,,,,,,,,,,,,,,,,,,,,05/28/2025 12:05
0014,Quinn Torres,Fall 2025,Confirmed Completed,Electrical Engineering,MATH 141 - Calculus I,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,Y,,,,,,10,N,,0,4,,8,,,,,,,,,,,,,,,,,,,,,,Enroll me in ESM 120 which culminates with the MAPE exam.,05/03/2025 01:05,03/22/2025 01:03
0015,Peyton Nguyen,Fall 2025,Confirmed,Industrial Engineering,MATH 141 - Calculus I,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,Y,,,,,,10,N,,0,4,,8,,,,,,,,,,,,,,,,,,,,,,I will take MATH 118 Precalculus in the fall and understand that this decision may affect my coursework progress.,05/16/2025 12:05,05/14/2025 09:05
0016,Jamie Hernandez,Fall 2025,Confirmed Completed,Physics,MATH 141 - Calculus I,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,,"Verified: AP Calculus (AB) - 4
Verified: AP Statistics - 3",,4,8,10,Y,,0,A,,12,,,,,,4 - Verified,,,3 - Verified,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,07/14/2025 10:07,04/01/2025 05:04
0017,Elliot Nguyen,Fall 2025,Confirmed Completed,General Engineering,MATH 141 - Calculus I,8,Calculus III,2,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,,,"Verified: AP Calculus (BC): AB Subscore - 5
Verified: AP Precalculus - 5
Verified: AP Calculus (BC) - 4",2,4,8,10,Y,,0,A,,10,,,,,,,4 - Verified,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,06/10/2025 11:06,05/06/2025 03:05
0018,Peyton King,Fall 2025,Confirmed Completed,Software Engineering,MATH 141 - Calculus I,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,,"Verified: AP Calculus (AB) - 5
Verified: AP Computer Science (A) - 5
Verified: AP Computer Science Principles - 5",,4,,10,Y,,0,4,,12,,,,,,5 - Verified,,,,,,,,,,,,,,,,I will/have send a standardized test score or transcript to demonstrate Calculus I (MATH 141 or equivalent) eligibility by the July 15 deadline.,05/01/2025 02:05,04/25/2025 11:04
0019,Logan Torres,Fall 2025,Confirmed Completed,Marine Sciences,MATH 161 - Calculus for the Life Sciences I,8,Calculus I or Equivalent,8,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,,,Verified: AP Precalculus - 5,,,8,10,Y,,0,4,,10,,,,,,,,,,,,,,,,,,,,,,I will/have send a standardized test score or transcript to demonstrate Calculus I (MATH 141 or equivalent) eligibility by the July 15 deadline.,05/12/2025 03:05,05/12/2025 03:05
0020,Blake Clark,Fall 2025,Confirmed Completed,Business Administration,MATH 221 - Calculus for Business and Economics,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,Y,Statistics,,,,,10,N,,0,4,,8,,,,,,,,,,,,,,,,,,,,,,I will/have send a standardized test score or transcript to demonstrate Calculus I (MATH 141 or equivalent) eligibility by the July 15 deadline.,06/09/2025 03:06,03/15/2025 01:03
0021,Morgan Martinez,Fall 2025,Confirmed Completed,Mechanical Engineering,MATH 141 - Calculus I,8,Calculus III,2,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,,"Verified: AP Statistics - 5
Verified: AP Calculus (AB) - 5
Verified: AP Calculus (BC) - 4
Verified: AP Calculus (BC): AB Subscore - 4",2,4,,10,Y,,0,A,,12,,,,,,5 - Verified,4 - Verified,,5 - Verified,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/01/2025 04:05,05/01/2025 04:05
0022,Finley Lee,Fall 2025,Confirmed Completed,Civil Engineering,MATH 141 - Calculus I,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,,Calculus I or higher,"Verified: AP Calculus (AB) - 4
Verified: AP Computer Science Principles - 3
Verified: ACT Mathematics - 26",,4,8,10,Y,,0,A,,10,,,,26 - Verified,,4 - Verified,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/25/2025 07:05,04/25/2025 02:04
0023,Alex Nguyen,Fall 2025,Confirmed Completed,Wine and Viticulture,MATH 161 - Calculus for the Life Sciences I,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,,Statistics,Verified: AP Statistics - 1,,,,10,Y,,0,4,,10,,,,,,,,,1 - Verified,,,,,,,,,,,,,I will take MATH 118 Precalculus in the fall and understand that this decision may affect my coursework progress.,06/23/2025 02:06,06/03/2025 07:06
0024,Cameron Scott,Fall 2025,Confirmed Completed,Computer Science,MATH 141 - Calculus I,8,Calculus I or Equivalent,8,MATH 115 - Stretch Precalculus Algebra I,16,Y,Placement Verified w/Final Documentation,N,N,Y,College Algebra,,,,8,10,N,,0,4,,8,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,06/15/2025 09:06,05/10/2025 02:05
0025,Riley Lee,Fall 2025,Confirmed Completed,Forest and Fire Sciences,MATH 161 - Calculus for the Life Sciences I OR MATH 221 - Calculus for Business and Economics,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,,Calculus I or higher,,,4,,10,N,,0,4,,10,,,,,,,,,,,,,,,,,,,,,,,,04/26/2025 06:04
0026,Logan Baker,Fall 2025,Confirmed Completed,Environmental Management and Protection,MATH 161 - Calculus for the Life Sciences I OR MATH 221 - Calculus for Business and Economics,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,,,Verified: AP Statistics - 3,,,,10,Y,,0,A,,8,,,,,,,,,3 - Verified,,,,,,,,,,,,,I will/have send a standardized test score or transcript to demonstrate Calculus I (MATH 141 or equivalent) eligibility by the July 15 deadline.,06/29/2025 01:06,06/29/2025 01:06
0027,Jordan Johnson,Fall 2025,Confirmed Completed,Business Administration,MATH 221 - Calculus for Business and Economics,8,Calculus I or Equivalent,8,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,,Verified: AP Statistics - 5,,,8,10,Y,,0,A,,10,,,,,,,,,5 - Verified,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,06/01/2025 06:06,07/14/2025 06:07
0028,Rowan Garcia,Fall 2025,Confirmed Completed,"Recreation, Parks, and Tourism Administration",MATH 118 - Precalculus Algebra,10,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Statistics,"Verified: AP Calculus (AB) - 3
Verified: AP Computer Science Principles - 3",,4,,10,Y,,0,A,,13,,,,,,3 - Verified,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,07/15/2025 02:07,07/11/2025 04:07
0029,Peyton Hernandez,Fall 2025,Confirmed Completed,Biochemistry,MATH 141 - Calculus I,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Calculus I or higher,"Verified: AP Statistics - 4
Verified: AP Calculus (BC): AB Subscore - 3
Verified: AP Computer Science Principles - 3",,4,,10,Y,,0,A,,10,,,,,,,,,4 - Verified,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/15/2025 11:05,05/15/2025 11:05
0030,Blake Johnson,Fall 2025,Confirmed,Business Administration,MATH 221 - Calculus for Business and Economics,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,Y,,,,,,10,N,,0,4,,8,,,,,,,,,,,,,,,,,,,,,,I will take the MAPE remotely before August 31 (it is strongly advised that students complete the exam before July 10).,06/26/2025 07:06,05/14/2025 02:05
0031,Reese Clark,Fall 2025,Confirmed Completed,Child Development,STAT 217 - Introduction to Statistical Concepts and Methods,10,Calculus I or Equivalent,8,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,,Precalculus,,,,8,10,N,,0,4,,8,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/14/2025 12:05,05/13/2025 06:05
0032,Taylor Baker,Fall 2025,Confirmed Completed,Architecture,MATH 141 - Calculus I,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,Y,,,,,,10,N,,0,4,,10,,,,,,,,,,,,,,,,,,,,,,I will take MATH 118 Precalculus in the fall and understand that this decision may affect my coursework progress.,06/10/2025 02:06,04/18/2025 01:04
0033,Alex Scott,Fall 2025,Confirmed Completed,Theatre Arts,a single course in GE area B4,10,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,Y,N,Y,,Verified: AP Calculus (AB) - 1,,,,10,Y,,0,X,,10,,,,,,1 - Verified,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,06/13/2025 05:06,06/13/2025 03:06
0034,Dakota Garcia,Fall 2025,Confirmed Completed,Art and Design,a single course in GE area B4,10,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,Y,N,,,,,,,10,N,,0,4,,8,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/24/2025 01:05,05/16/2025 02:05
0035,Morgan Brown,Fall 2025,Confirmed Completed,Computer Science,MATH 141 - Calculus I,8,Calculus I or Equivalent,8,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,,,"Verified: AP Computer Science (A) - 3
Verified: AP Computer Science Principles - 3
Verified: AP Calculus (BC): AB Subscore - 2
Verified: AP Calculus (BC) - 1",,,8,10,Y,,0,Z,,10,,,,,,,1 - Verified,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,06/09/2025 11:06,06/09/2025 11:06
0036,Quinn Baker,Fall 2025,Confirmed Completed,Biomedical Engineering,MATH 141 - Calculus I,8,MATH 115 - Stretch Precalculus Algebra I,16,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,N,,,,,,,,N,,0,H,,8,,,,,,,,,,,,,,,,,,,,,,,,07/15/2025 03:07
0037,Logan Allen,Fall 2025,Confirmed Completed,Journalism,STAT 130 - Introduction to Statistical Reasoning OR STAT 217 - Introduction to Statistical Concepts and Methods OR STAT 218 Applied Statistics for the Life Sciences OR STAT 251 - Statistical Inference for Management I,10,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,Y,N,Y,,,,,,10,N,,0,4,,8,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/21/2025 01:05,05/21/2025 01:05
0038,Reese Martinez,Fall 2025,Confirmed Completed,Business Administration,MATH 221 - Calculus for Business and Economics,8,MATH 115 - Stretch Precalculus Algebra I,16,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,N,,,"Verified: AP Computer Science Principles - 2
Verified: AP Computer Science (A) - 1",,,,,Y,,0,0,,9,Verified,,,,,,,,,,,,,,,,,,,,,I will take the MAPE remotely before August 31 (it is strongly advised that students complete the exam before July 10).,07/03/2025 02:07,05/15/2025 08:05
0039,Morgan Lee,Fall 2025,Confirmed Completed,Environmental Engineering,MATH 141 - Calculus I,8,Calculus III,2,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,,,"Verified: AP Calculus (BC): AB Subscore - 4
Verified: AP Calculus (BC) - 4
Verified: AP Calculus (AB) - 4
Verified: SATR Math Section Score - 610",2,4,,10,Y,,0,A,,10,,,,,,4 - Verified,4 - Verified,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,04/22/2025 11:04,04/17/2025 10:04
0040,Alex Young,Fall 2025,Confirmed,English,a single course in GE area B4,10,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,Y,N,Y,,,,,,10,N,,0,4,,10,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,06/24/2025 03:06,05/30/2025 12:05
0041,Casey Lee,Fall 2025,Confirmed Completed,Biochemistry,MATH 141 - Calculus I,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,Y,,Verified: SATR Math Section Score - 630,,,8,10,Y,,0,4,,8,,,,,,,,,,,,,,,,,,,,,,I will/have send a standardized test score or transcript to demonstrate Calculus I (MATH 141 or equivalent) eligibility by the July 15 deadline.,06/15/2025 10:06,05/14/2025 01:05
0042,Taylor Torres,Fall 2025,Confirmed Completed,Animal Science,Calculus Ready with MATH 118 - Precalculus Algebra,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,,Verified: AP Calculus (AB) - 4,,4,,10,Y,,0,A,,10,,,,,,4 - Verified,,,,,,,,,,,,,,,,I will/have send a standardized test score or transcript to demonstrate Calculus I (MATH 141 or equivalent) eligibility by the July 15 deadline.,06/20/2025 07:06,05/01/2025 01:05
0043,Cameron Nguyen,Fall 2025,Confirmed Completed,Business Administration,MATH 221 - Calculus for Business and Economics,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,Y,Statistics,,,,,10,N,,0,4,,12,,,,,,,,,,,,,,,,,,,,,,Enroll me in ESM 120 which culminates with the MAPE exam.,05/13/2025 12:05,05/08/2025 10:05
0044,Dakota Rivera,Fall 2025,Confirmed Completed,Political Science,STAT 217 - Introduction to Statistical Concepts and Methods,10,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,Y,N,,Statistics,Verified: AP Statistics - 2,,,,10,Y,,0,4,,10,,,,,,,,,2 - Verified,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,04/29/2025 03:04,04/27/2025 05:04
0045,Blake Lopez,Fall 2025,Confirmed,Forest and Fire Sciences,MATH 161 - Calculus for the Life Sciences I OR MATH 221 - Calculus for Business and Economics,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,Y,,,,,,10,N,,0,4,,10,,,,,,,,,,,,,,,,,,,,,,,,
0046,Logan Garcia,Fall 2025,Confirmed,Civil Engineering,MATH 141 - Calculus I,8,Calculus I or Equivalent,8,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,,"Verified: AP Calculus (AB) - 2
Verified: AP Statistics - 2",,,8,,Y,,0,Z,,10,,,,,,2 - Verified,,,2 - Verified,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/09/2025 04:05,04/28/2025 04:04
0047,Finley Martinez,Fall 2025,Confirmed,Software Engineering,MATH 141 - Calculus I,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,,Calculus I or higher,"Verified: AP Calculus (AB) - 5
Verified: AP Precalculus - 5
Verified: SATR Math Section Score - 640",,4,8,10,Y,,0,S,,10,,,,,,5 - VerifiedSelf-Reported,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,07/02/2025 07:07,07/02/2025 07:07
0048,Blake Davis,Fall 2025,Confirmed Completed,Computer Engineering,MATH 141 - Calculus I,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,,"Verified: AP Calculus (AB) - 4
Verified: AP Computer Science Principles - 4",,4,8,10,Y,,0,A,,8,,,,,,4 - Verified,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,06/11/2025 08:06,05/14/2025 09:05
0049,Alex Baker,Fall 2025,Confirmed Completed,Biomedical Engineering,MATH 141 - Calculus I,8,Calculus I or Equivalent,8,MATH 115 - Stretch Precalculus Algebra I,16,Y,Placement Verified w/Final Documentation,N,N,Y,,,,,8,,N,,0,Z,,12,,,,,,,,,,,,,,,,,,,,,,,,
0050,Finley Martinez,Fall 2025,Confirmed Completed,Electrical Engineering,MATH 141 - Calculus I,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,,"Verified: AP Computer Science (A) - 4
Verified: AP Statistics - 3
Verified: AP Calculus (AB) - 3",,4,8,10,Y,,0,A,,15,,,,,,3 - Verified,,,3 - Verified,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/15/2025 01:05,03/29/2025 11:03
0051,Quinn Hernandez,Fall 2025,Confirmed Completed,Computer Engineering,MATH 141 - Calculus I,8,Calculus III,2,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Calculus I or higher,"Verified: AP Calculus (BC) - 5
Verified: AP Calculus (BC): AB Subscore - 5
Verified: AP Computer Science (A) - 5",2,4,8,10,Y,,0,A,,14,,,,,,,5 - Verified,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,06/08/2025 03:06,05/10/2025 02:05
0052,Casey Scott,Fall 2025,Confirmed Completed,Business Administration,MATH 221 - Calculus for Business and Economics,8,Calculus I or Equivalent,8,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Not Listed,"Verified: ACT Mathematics - 28
Verified: ACT Mathematics - 28",,,8,10,Y,,0,C,,10,,,,28 - Verified;28 - Verified,,,,,,,,,,,,,,,,,,I will/have send a standardized test score or transcript to demonstrate Calculus I (MATH 141 or equivalent) eligibility by the July 15 deadline.,07/02/2025 02:07,07/02/2025 02:07
